Record_ID,Timestamp,Shift,Machine_Type,Machine_ID,Machine_Age_Years,Operator_ID,Operator_Age,Operator_Experience_Years,Site_ID,Site_Location,GPS_Latitude,GPS_Longitude,Task_Type,Task_Start_Time,Task_End_Time,Task_Duration_min,Weather_Condition,Temperature_C,Visibility,Terrain_Type,Engine_Hours,Fuel_Used_L,Fuel_Efficiency_L_per_hr,Load_Cycles,Payload_Weight_kg,Distance_Covered_m,Idling_Time_min,Vibration_Level,Engine_Temperature_C,Hydraulic_Pressure_psi,Harsh_Braking_Events,Overspeed_Events,Seatbelt_Status,Fatigue_Alert,Maintenance_Alert,Downtime_min,Productivity_Score,Safety_Alert_Triggered
270,2025-02-11 02:34:00,Night,Motor Grader,MGR002,14.6,OP1017,30,12.4,SITE06,"Pune, MH",10.57179,77.30192,Material Transport,2025-02-11 02:34:00,2025-02-11 03:01:24,27.4,Cloudy,29.2,Good,Muddy,3922.6,4.46,9.77,7,804.4,352.3,31,0.98,84.3,2674.9,1,0,Fastened,No,No,2,91.3,No
271,2025-02-11 03:23:00,Night,Wheel Loader,WLD002,11.4,OP1038,26,10.7,SITE02,"Coimbatore, TN",14.78222,81.93903,Trenching,2025-02-11 03:23:00,2025-02-11 04:15:12,52.2,Cloudy,30.5,Good,Rocky,4387,9.2,10.57,6,1627.3,424.1,28,3.2,97.4,2406.4,1,0,Fastened,No,Yes,1,92.4,No
272,2025-02-11 09:13:00,Morning,Backhoe Loader,BHL002,12.3,OP1001,57,17.1,SITE07,"Nagpur, MH",18.24991,75.03752,Leveling,2025-02-11 09:13:00,2025-02-11 09:54:30,41.5,Clear,26.3,Good,Flat,3119.2,6.2,8.96,9,1804.8,78.1,24,2.82,87.2,2571.4,1,0,Fastened,No,No,0,98.8,No
273,2025-02-11 13:43:00,Morning,Bulldozer,BDZ001,14.3,OP1033,42,7.5,SITE01,"Chennai, TN",16.01773,78.12635,Grading,2025-02-11 13:43:00,2025-02-11 14:37:18,54.3,Cloudy,25.5,Good,Uneven,4601.3,1.26,1.39,10,1507.7,264.8,3,3.23,87.8,2409.6,1,0,Fastened,No,Yes,8,100,No
274,2025-02-11 19:15:00,Afternoon,Backhoe Loader,BHL002,12.4,OP1010,53,10.2,SITE08,"Vizag, AP",8.69606,75.65998,Demolition,2025-02-11 19:15:00,2025-02-11 19:25:54,10.9,Clear,24.5,Good,Rocky,3599.3,7.07,38.92,9,2537.4,452.8,14,3.63,89,2495.5,0,1,Fastened,No,No,1,100,No
275,2025-02-11 23:03:00,Night,Bulldozer,BDZ002,13.1,OP1028,46,1.4,SITE04,"Bengaluru, KA",14.71968,75.95555,Material Transport,2025-02-11 23:03:00,2025-02-11 23:48:48,45.8,Dust Storm,34.5,Poor,Rocky,3323,1.92,2.52,6,1777.3,641.1,1,3.46,86.3,2399.9,0,0,Fastened,No,No,0,100,No
276,2025-02-11 23:12:00,Night,Bulldozer,BDZ001,4.2,OP1036,43,4.6,SITE03,"Vellore, TN",15.61064,79.19022,Digging,2025-02-11 23:12:00,2025-02-11 23:55:06,43.1,Cloudy,24.6,Good,Uneven,1887.4,3.12,4.34,9,777.6,288.7,26,2.25,94.9,2112.2,0,1,Fastened,No,No,0,97.8,No
277,2025-02-12 00:08:00,Night,Bulldozer,BDZ001,14.7,OP1037,22,3.3,SITE04,"Bengaluru, KA",14.70685,75.94575,Material Transport,2025-02-12 00:08:00,2025-02-12 00:41:18,33.3,Clear,29.7,Good,Muddy,2918.1,0.93,1.68,10,2060.4,404,15,4.56,88.4,2665.2,1,0,Fastened,No,No,2,100,No
278,2025-02-12 01:29:00,Night,Bulldozer,BDZ002,12.3,OP1005,45,2.5,SITE08,"Vizag, AP",8.69292,75.6544,Leveling,2025-02-12 01:29:00,2025-02-12 01:49:36,20.6,Rain,24.1,Moderate,Rocky,2067.1,5.22,15.2,4,1415.4,427,54,3.04,89.4,2867.4,0,0,Fastened,No,No,2,76.2,No
279,2025-02-12 06:24:00,Morning,Motor Grader,MGR001,4.1,OP1036,43,4.6,SITE04,"Bengaluru, KA",14.71028,75.95324,Leveling,2025-02-12 06:24:00,2025-02-12 06:29:00,5,Cloudy,25.9,Good,Flat,2670.2,8.31,83.1,13,2558.4,344.7,15,3.48,103.6,2692.1,0,0,Unfastened,No,No,2,100,No
280,2025-02-12 06:29:00,Morning,Excavator,EXC001,13.3,OP1004,53,15.5,SITE02,"Coimbatore, TN",14.78966,81.94812,Trenching,2025-02-12 06:29:00,2025-02-12 07:15:24,46.4,Extreme Heat,45.7,Good,Flat,1588,5.14,6.65,10,1553,208.5,19,2.46,91,2334.1,0,0,Unfastened,No,No,1,100,No
281,2025-02-12 06:34:00,Morning,Excavator,EXC002,6.1,OP1033,42,7.5,SITE06,"Pune, MH",10.57645,77.30604,Trenching,2025-02-12 06:34:00,2025-02-12 06:55:12,21.2,Clear,35,Good,Flat,4417.1,2.64,7.47,8,1307.2,428.4,8,3.37,91.9,2520.5,0,0,Fastened,Yes,No,0,100,No
282,2025-02-12 13:59:00,Morning,Excavator,EXC002,3,OP1004,53,15.5,SITE04,"Bengaluru, KA",14.71676,75.94281,Demolition,2025-02-12 13:59:00,2025-02-12 14:13:00,14,Extreme Heat,42.2,Good,Flat,4300.6,5.44,23.31,12,807.6,382.2,7,1.03,99.7,2540.4,2,1,Fastened,No,No,0,100,No
283,2025-02-12 16:59:00,Afternoon,Motor Grader,MGR002,5.8,OP1029,39,3.8,SITE06,"Pune, MH",10.57436,77.31572,Trenching,2025-02-12 16:59:00,2025-02-12 17:54:18,55.3,Clear,25.5,Good,Flat,2210.2,4.87,5.28,8,2100.5,414.4,43,4.98,82,2205.3,0,0,Fastened,No,No,1,87.3,No
284,2025-02-12 19:11:00,Afternoon,Bulldozer,BDZ001,5.3,OP1018,47,1.9,SITE07,"Nagpur, MH",18.24311,75.04931,Material Transport,2025-02-12 19:11:00,2025-02-12 19:41:30,30.5,Cloudy,26.2,Good,Uneven,2925.8,4.99,9.82,9,2088.3,455.7,47,3.25,99.8,2252.4,0,0,Unfastened,Yes,No,0,87.3,No
285,2025-02-12 19:31:00,Afternoon,Excavator,EXC003,4,OP1030,48,15.2,SITE04,"Bengaluru, KA",14.70191,75.95507,Digging,2025-02-12 19:31:00,2025-02-12 20:05:36,34.6,Clear,32.1,Good,Muddy,4965.5,3.52,6.1,8,3256,237.5,6,3.76,93.5,2336.3,0,0,Fastened,No,No,2,100,No
286,2025-02-12 22:41:00,Night,Wheel Loader,WLD004,10.2,OP1039,30,5.4,SITE02,"Coimbatore, TN",14.79089,81.93802,Trenching,2025-02-12 22:41:00,2025-02-12 23:19:36,38.6,Clear,30.4,Good,Muddy,4114.9,6.17,9.59,9,2383,387.8,25,2.96,92.5,2642.3,0,1,Fastened,No,No,2,96.7,No
287,2025-02-12 22:59:00,Night,Excavator,EXC004,11.8,OP1013,53,14.3,SITE06,"Pune, MH",10.56993,77.3147,Loading,2025-02-12 22:59:00,2025-02-12 23:37:36,38.6,Clear,32.3,Good,Flat,4256.8,6.75,10.49,10,1860.2,457.5,38,4.18,93,2381.3,0,0,Fastened,No,No,1,92.2,No
288,2025-02-13 02:42:00,Night,Wheel Loader,WLD002,7.9,OP1021,53,16.8,SITE04,"Bengaluru, KA",14.71957,75.96028,Demolition,2025-02-13 02:42:00,2025-02-13 03:17:18,35.3,Clear,35.4,Good,Sloped,2788.7,7.41,12.59,14,2515.1,11.6,59,1.76,91.8,2453.3,1,1,Unfastened,No,No,1,86.5,No
289,2025-02-13 03:17:00,Night,Excavator,EXC002,11.9,OP1007,24,16.9,SITE08,"Vizag, AP",8.69716,75.66449,Grading,2025-02-13 03:17:00,2025-02-13 03:41:54,24.9,Rain,23.5,Moderate,Flat,2618.2,2.78,6.7,3,1574,237.3,16,3.36,94.6,2528.6,0,0,Fastened,No,No,1,94.8,No
290,2025-02-13 08:31:00,Morning,Wheel Loader,WLD001,13.1,OP1030,48,15.2,SITE07,"Nagpur, MH",18.23946,75.05003,Grading,2025-02-13 08:31:00,2025-02-13 08:42:30,11.5,Dust Storm,33.8,Poor,Flat,3174.2,4.43,23.11,5,1083.4,342.7,3,3.33,107.2,2611.4,1,1,Fastened,No,No,0,100,No
291,2025-02-13 13:34:00,Morning,Bulldozer,BDZ003,11,OP1006,48,21.5,SITE02,"Coimbatore, TN",14.78385,81.94714,Leveling,2025-02-13 13:34:00,2025-02-13 14:39:54,65.9,Clear,35.8,Good,Uneven,4428.1,4.02,3.66,9,1341.4,118.8,18,2.07,94.5,1908.4,1,1,Fastened,No,No,4,98.6,No
292,2025-02-13 15:45:00,Afternoon,Wheel Loader,WLD001,5.5,OP1029,39,3.8,SITE05,"Hyderabad, TS",8.36119,77.68455,Digging,2025-02-13 15:45:00,2025-02-13 16:20:30,35.5,Clear,34,Good,Uneven,2259.5,2.37,4.01,10,2067.8,151.1,25,3.92,95.7,2756.9,0,0,Fastened,No,No,3,97.1,No
293,2025-02-13 16:47:00,Afternoon,Backhoe Loader,BHL002,8.6,OP1040,25,14.9,SITE07,"Nagpur, MH",18.23161,75.04019,Leveling,2025-02-13 16:47:00,2025-02-13 17:45:48,58.8,Rain,24.6,Moderate,Muddy,2911,4.16,4.24,8,2202,406.8,45,2.05,85.9,2461.5,0,1,Fastened,No,No,1,86.3,No
294,2025-02-13 18:36:00,Afternoon,Bulldozer,BDZ003,14.5,OP1040,25,14.9,SITE02,"Coimbatore, TN",14.79082,81.94876,Grading,2025-02-13 18:36:00,2025-02-13 19:25:54,49.9,Clear,27.5,Good,Uneven,3574.2,6.66,8.01,9,2411,620.6,35,5.82,86.5,2587.5,1,1,Fastened,No,No,2,91.7,No
295,2025-02-13 19:06:00,Afternoon,Bulldozer,BDZ001,11.1,OP1019,45,18.3,SITE03,"Vellore, TN",15.6154,79.20021,Demolition,2025-02-13 19:06:00,2025-02-13 19:18:48,12.8,Clear,33.5,Good,Sloped,3279.2,5.41,25.36,10,993.7,513.6,40,3.12,80.7,2532.5,0,0,Unfastened,No,No,0,77,Yes
296,2025-02-14 02:53:00,Night,Excavator,EXC003,2,OP1013,53,14.3,SITE01,"Chennai, TN",16.02236,78.12184,Digging,2025-02-14 02:53:00,2025-02-14 03:15:36,22.6,Clear,27.9,Good,Uneven,1721.7,2.28,6.05,13,1007.3,504.1,2,2.43,90.5,2557.5,0,0,Fastened,No,No,0,100,No
297,2025-02-14 04:11:00,Night,Bulldozer,BDZ003,10.6,OP1032,51,21.3,SITE08,"Vizag, AP",8.70474,75.66698,Trenching,2025-02-14 04:11:00,2025-02-14 05:07:12,56.2,Cloudy,29.5,Good,Rocky,4468.9,4.82,5.15,9,2373.8,390.5,66,4.22,93.5,2677.9,0,0,Fastened,No,No,0,77.8,No
298,2025-02-14 04:48:00,Night,Backhoe Loader,BHL002,5.1,OP1011,37,8.5,SITE04,"Bengaluru, KA",14.72021,75.9567,Trenching,2025-02-14 04:48:00,2025-02-14 06:26:42,98.7,Extreme Heat,44.4,Good,Flat,2744.2,5.8,3.53,3,1949.7,143,8,4.33,97.5,2297.3,0,1,Fastened,Yes,No,1,98.8,No
299,2025-02-14 10:27:00,Morning,Wheel Loader,WLD004,10.3,OP1036,43,4.6,SITE01,"Chennai, TN",16.02698,78.1244,Grading,2025-02-14 10:27:00,2025-02-14 11:19:54,52.9,Clear,31,Good,Uneven,3733.6,6.24,7.08,8,1412.3,532.4,2,3.46,98.9,2370.4,1,0,Fastened,No,No,3,100,No
300,2025-02-14 13:15:00,Morning,Excavator,EXC002,11.6,OP1038,26,10.7,SITE04,"Bengaluru, KA",14.71854,75.94887,Material Transport,2025-02-14 13:15:00,2025-02-14 13:34:54,19.9,Cloudy,30.1,Good,Sloped,4566.8,7.85,23.67,10,1901.7,473.8,0,4.57,102.3,1910.4,0,0,Fastened,No,No,4,93.8,Yes
301,2025-02-14 15:13:00,Afternoon,Excavator,EXC002,10.7,OP1040,25,14.9,SITE07,"Nagpur, MH",18.23877,75.04765,Demolition,2025-02-14 15:13:00,2025-02-14 15:18:00,5,Clear,25,Good,Flat,4799.7,4.67,46.7,8,570.5,447.4,106,2.97,82.3,2405,1,0,Unfastened,No,No,0,56.6,No
302,2025-02-14 17:08:00,Afternoon,Wheel Loader,WLD001,11.3,OP1033,42,7.5,SITE08,"Vizag, AP",8.69723,75.66245,Leveling,2025-02-14 17:08:00,2025-02-14 18:05:00,57,Rain,22.3,Moderate,Flat,2414.5,3.05,3.21,8,1925.7,277.8,107,1.04,101.6,1991.2,0,1,Fastened,Yes,No,0,56.1,No
303,2025-02-14 17:31:00,Afternoon,Backhoe Loader,BHL001,9.5,OP1016,32,5.4,SITE02,"Coimbatore, TN",14.78303,81.95114,Trenching,2025-02-14 17:31:00,2025-02-14 18:23:54,52.9,Clear,32.9,Good,Flat,2492.9,2.99,3.39,14,2183.4,349.3,27,3.98,98.7,2583.5,1,0,Fastened,No,No,0,100,No
304,2025-02-14 17:42:00,Afternoon,Wheel Loader,WLD002,0.6,OP1008,33,17.4,SITE08,"Vizag, AP",8.70005,75.64933,Leveling,2025-02-14 17:42:00,2025-02-14 18:35:36,53.6,Fog,19.2,Poor,Muddy,1754.4,6.45,7.22,10,781.1,408.4,49,1.77,96.1,2605.6,0,1,Fastened,No,No,0,87.5,No
305,2025-02-15 05:18:00,Night,Bulldozer,BDZ003,1.6,OP1040,25,14.9,SITE06,"Pune, MH",10.58066,77.3092,Digging,2025-02-15 05:18:00,2025-02-15 06:28:30,70.5,Clear,32.9,Good,Sloped,2233.5,7.38,6.28,10,2221.1,340.1,10,3.48,88.8,2766.2,1,0,Fastened,No,No,2,100,No
306,2025-02-15 07:03:00,Morning,Bulldozer,BDZ001,12.6,OP1025,52,17.2,SITE06,"Pune, MH",10.56863,77.30535,Grading,2025-02-15 07:03:00,2025-02-15 07:46:36,43.6,Fog,20.8,Poor,Flat,1546.4,3.31,4.56,12,1282.8,184.6,18,4.25,89.8,2449.8,0,0,Fastened,No,No,0,100,No
307,2025-02-15 09:05:00,Morning,Excavator,EXC001,11.3,OP1010,53,10.2,SITE07,"Nagpur, MH",18.23929,75.04066,Digging,2025-02-15 09:05:00,2025-02-15 09:59:06,54.1,Clear,33.5,Good,Flat,1970.2,2.45,2.72,12,1301.9,408.9,2,0.77,94.5,2252.5,0,0,Fastened,No,No,2,100,No
308,2025-02-15 12:56:00,Morning,Wheel Loader,WLD001,1.8,OP1018,47,1.9,SITE01,"Chennai, TN",16.02917,78.12993,Demolition,2025-02-15 12:56:00,2025-02-15 13:50:30,54.5,Clear,36,Good,Muddy,3775.4,6.25,6.88,6,1729.5,155.5,19,4.4,100,2434.8,1,2,Fastened,No,No,3,95.3,No
309,2025-02-15 17:56:00,Afternoon,Excavator,EXC001,1.5,OP1010,53,10.2,SITE05,"Hyderabad, TS",8.37396,77.67805,Loading,2025-02-15 17:56:00,2025-02-15 19:05:30,69.5,Cloudy,23.1,Good,Muddy,2226.9,6.71,5.79,9,1659.2,482.4,14,4.25,98.7,2725.8,0,0,Fastened,No,No,0,100,No
310,2025-02-15 20:37:00,Afternoon,Backhoe Loader,BHL001,7.5,OP1019,45,18.3,SITE04,"Bengaluru, KA",14.71017,75.9476,Grading,2025-02-15 20:37:00,2025-02-15 21:15:24,38.4,Clear,24.4,Good,Uneven,4286.5,4.45,6.95,4,2164.3,565,25,5.57,89.4,2160.7,0,0,Unfastened,No,Yes,4,89.1,No
311,2025-02-16 03:25:00,Night,Backhoe Loader,BHL002,3.5,OP1001,57,17.1,SITE02,"Coimbatore, TN",14.77356,81.94736,Grading,2025-02-16 03:25:00,2025-02-16 04:47:24,82.4,Cloudy,28.9,Good,Flat,2750.8,6.85,4.99,9,2645,584.6,11,3.84,90.3,2437.8,0,0,Fastened,No,No,0,100,No
312,2025-02-16 06:25:00,Morning,Bulldozer,BDZ002,6.8,OP1038,26,10.7,SITE07,"Nagpur, MH",18.24056,75.05036,Grading,2025-02-16 06:25:00,2025-02-16 07:04:42,39.7,Fog,17.5,Poor,Rocky,3592.8,4.77,7.21,9,1141,268.4,1,1.84,84.2,2711.8,1,0,Fastened,No,No,0,100,No
313,2025-02-16 08:23:00,Morning,Excavator,EXC005,14.5,OP1034,38,8.5,SITE03,"Vellore, TN",15.62403,79.19325,Leveling,2025-02-16 08:23:00,2025-02-16 09:35:24,72.4,Cloudy,26.2,Good,Sloped,3459.4,3.61,2.99,10,2141.4,183.5,29,1.86,93,2575.9,0,0,Fastened,No,No,0,97.5,No
314,2025-02-16 11:47:00,Morning,Excavator,EXC004,5.8,OP1032,51,21.3,SITE04,"Bengaluru, KA",14.70756,75.95435,Leveling,2025-02-16 11:47:00,2025-02-16 12:42:30,55.5,Clear,31.5,Good,Muddy,4742.4,7.9,8.54,12,1052,239.9,6,5.74,81.1,2496.7,1,0,Fastened,No,No,5,100,No
315,2025-02-16 12:21:00,Morning,Wheel Loader,WLD001,2.3,OP1015,56,10,SITE01,"Chennai, TN",16.0173,78.12609,Trenching,2025-02-16 12:21:00,2025-02-16 12:47:48,26.8,Clear,35.9,Good,Uneven,4112,4.74,10.61,6,1818.7,291.5,23,2.13,90.7,2385,0,1,Fastened,No,No,1,94.9,No
316,2025-02-16 16:41:00,Afternoon,Wheel Loader,WLD001,10.9,OP1039,30,5.4,SITE02,"Coimbatore, TN",14.77481,81.95152,Digging,2025-02-16 16:41:00,2025-02-16 17:23:24,42.4,Cloudy,31,Good,Flat,3854.7,7.16,10.13,11,1129.1,326.3,8,4.64,89.1,2441.5,1,1,Fastened,No,No,2,100,No
317,2025-02-16 19:39:00,Afternoon,Excavator,EXC002,13.5,OP1035,40,10.6,SITE03,"Vellore, TN",15.61211,79.18852,Demolition,2025-02-16 19:39:00,2025-02-16 20:00:24,21.4,Clear,34.1,Good,Muddy,2217.2,5.31,14.89,10,1330.6,483.3,22,2.84,88.3,2752,0,0,Fastened,No,No,3,98.6,No
318,2025-02-17 03:17:00,Night,Wheel Loader,WLD004,1.8,OP1031,31,16.5,SITE04,"Bengaluru, KA",14.70487,75.95891,Leveling,2025-02-17 03:17:00,2025-02-17 04:08:42,51.7,Clear,28.2,Good,Muddy,4751.2,6.17,7.16,8,1061.3,327.1,14,3.41,103.4,2127.5,1,1,Fastened,No,No,0,100,No
319,2025-02-17 07:49:00,Morning,Wheel Loader,WLD004,10.7,OP1007,24,16.9,SITE07,"Nagpur, MH",18.23489,75.03979,Grading,2025-02-17 07:49:00,2025-02-17 08:41:54,52.9,Extreme Heat,40,Good,Flat,1690.1,6.75,7.66,4,2999.1,310.3,3,4.61,90.7,2418.8,1,0,Fastened,No,Yes,10,95.3,No
320,2025-02-18 01:41:00,Night,Wheel Loader,WLD003,2.7,OP1015,56,10,SITE02,"Coimbatore, TN",14.79268,81.95159,Demolition,2025-02-18 01:41:00,2025-02-18 02:31:42,50.7,Cloudy,24.1,Good,Rocky,1985.8,2.1,2.49,7,1189.3,214.9,9,4.8,92.8,2126.5,0,0,Unfastened,No,No,0,100,No
321,2025-02-18 04:56:00,Night,Bulldozer,BDZ003,6.9,OP1031,31,16.5,SITE06,"Pune, MH",10.58179,77.32014,Leveling,2025-02-18 04:56:00,2025-02-18 05:55:24,59.4,Cloudy,25.6,Good,Flat,1518.1,4.95,5,5,2331.9,393.3,8,3.89,89.6,2511.9,0,0,Fastened,No,No,1,100,No
322,2025-02-18 14:27:00,Afternoon,Excavator,EXC002,12,OP1034,38,8.5,SITE01,"Chennai, TN",16.01553,78.13216,Grading,2025-02-18 14:27:00,2025-02-18 15:42:54,75.9,Cloudy,30.3,Good,Flat,3546.5,4.54,3.59,10,1323.4,338.5,8,2.81,95.5,2278.1,0,0,Unfastened,No,No,0,93,Yes
323,2025-02-18 14:31:00,Afternoon,Excavator,EXC005,9.8,OP1026,51,4.7,SITE08,"Vizag, AP",8.6909,75.66664,Trenching,2025-02-18 14:31:00,2025-02-18 15:18:36,47.6,Cloudy,27.1,Good,Flat,3982.9,3.01,3.79,2,1427.4,296.2,10,4.07,103.1,2276.9,0,2,Fastened,No,No,1,96.6,No
324,2025-02-18 14:43:00,Afternoon,Backhoe Loader,BHL003,1.7,OP1027,51,10.5,SITE07,"Nagpur, MH",18.2487,75.03285,Leveling,2025-02-18 14:43:00,2025-02-18 15:57:06,74.1,Rain,23.6,Moderate,Flat,4378.5,2.01,1.63,10,1764,317.9,4,3.1,84.9,1924.9,1,0,Fastened,No,No,0,100,No
325,2025-02-18 16:42:00,Afternoon,Excavator,EXC005,11.1,OP1023,52,21.4,SITE04,"Bengaluru, KA",14.70784,75.95277,Grading,2025-02-18 16:42:00,2025-02-18 17:21:12,39.2,Extreme Heat,41.5,Good,Flat,2644.1,9.51,14.56,6,1008.3,540.7,17,3.5,92.9,2373.2,0,1,Fastened,No,No,2,97.1,No
326,2025-02-18 16:49:00,Afternoon,Excavator,EXC001,6,OP1032,51,21.3,SITE08,"Vizag, AP",8.70089,75.65563,Digging,2025-02-18 16:49:00,2025-02-18 18:11:24,82.4,Clear,31,Good,Flat,1751.6,4.39,3.2,18,1861.7,381.3,8,3.32,95.5,2403.4,0,0,Fastened,No,No,5,100,No
327,2025-02-18 18:51:00,Afternoon,Backhoe Loader,BHL001,3.2,OP1004,53,15.5,SITE07,"Nagpur, MH",18.23555,75.03148,Digging,2025-02-18 18:51:00,2025-02-18 19:31:36,40.6,Clear,29.4,Good,Flat,3384.4,4.85,7.17,6,2199.5,468.5,9,2.04,96.5,2527.3,0,0,Fastened,No,No,2,100,No
328,2025-02-18 20:10:00,Afternoon,Wheel Loader,WLD002,13.3,OP1036,43,4.6,SITE08,"Vizag, AP",8.70246,75.65286,Loading,2025-02-18 20:10:00,2025-02-18 20:25:00,15,Fog,15.9,Poor,Uneven,2371.2,4.1,16.4,7,1428.4,356.7,32,3.35,93.6,2379.1,1,1,Unfastened,No,No,0,92.4,No
329,2025-02-19 02:46:00,Night,Excavator,EXC004,14.3,OP1036,43,4.6,SITE03,"Vellore, TN",15.61548,79.20596,Trenching,2025-02-19 02:46:00,2025-02-19 04:00:24,74.4,Fog,19.5,Poor,Uneven,3278.5,1.65,1.33,7,1258,540.1,9,4.69,88.1,2790.6,0,1,Fastened,No,Yes,1,100,No
330,2025-02-19 03:25:00,Night,Backhoe Loader,BHL001,14.2,OP1039,30,5.4,SITE02,"Coimbatore, TN",14.78356,81.93882,Demolition,2025-02-19 03:25:00,2025-02-19 04:06:06,41.1,Clear,31,Good,Rocky,3578.7,1.85,2.7,12,1604.8,462.5,50,4.01,88.2,2650.4,2,0,Unfastened,Yes,No,0,74.4,Yes
331,2025-02-19 08:39:00,Morning,Wheel Loader,WLD002,14,OP1038,26,10.7,SITE06,"Pune, MH",10.58241,77.30887,Demolition,2025-02-19 08:39:00,2025-02-19 09:23:48,44.8,Clear,29.5,Good,Flat,4021.4,5.6,7.5,4,1234.4,235.6,1,2.8,98.3,2553.5,1,0,Unfastened,No,No,7,83.7,Yes
332,2025-02-19 08:59:00,Morning,Wheel Loader,WLD004,8.2,OP1015,56,10,SITE06,"Pune, MH",10.57259,77.31461,Material Transport,2025-02-19 08:59:00,2025-02-19 09:31:24,32.4,Clear,35.4,Good,Muddy,4315.4,4.51,8.35,8,856.8,272.3,90,2.46,93.9,2704.2,3,0,Fastened,No,No,3,62.2,No
333,2025-02-19 10:07:00,Morning,Excavator,EXC003,13.7,OP1040,25,14.9,SITE08,"Vizag, AP",8.69627,75.66175,Material Transport,2025-02-19 10:07:00,2025-02-19 10:59:54,52.9,Clear,33.9,Good,Rocky,3590.1,7.02,7.96,8,2656.8,614.5,1,2.58,95.4,2721.3,0,0,Unfastened,No,No,1,100,No
334,2025-02-19 12:50:00,Morning,Backhoe Loader,BHL003,0.6,OP1026,51,4.7,SITE05,"Hyderabad, TS",8.36179,77.68573,Material Transport,2025-02-19 12:50:00,2025-02-19 13:30:18,40.3,Extreme Heat,38.6,Good,Flat,2145.6,8.77,13.06,11,1901.9,382.2,11,2.91,93.1,2444.8,0,0,Fastened,No,No,5,100,No
335,2025-02-19 17:27:00,Afternoon,Wheel Loader,WLD001,4.6,OP1018,47,1.9,SITE01,"Chennai, TN",16.01605,78.12717,Trenching,2025-02-19 17:27:00,2025-02-19 18:09:42,42.7,Extreme Heat,44.8,Good,Uneven,2468.9,4.18,5.87,5,1537.1,303.6,33,2.56,90.2,2459.9,1,0,Unfastened,No,Yes,8,68.1,Yes
336,2025-02-19 18:26:00,Afternoon,Backhoe Loader,BHL001,3.3,OP1031,31,16.5,SITE07,"Nagpur, MH",18.241,75.03554,Grading,2025-02-19 18:26:00,2025-02-19 19:32:54,66.9,Cloudy,24.3,Good,Flat,3229.4,4.3,3.86,7,1442.9,373.1,22,3.8,91.9,2579,0,0,Fastened,No,No,0,97.4,No
337,2025-02-19 22:30:00,Night,Motor Grader,MGR001,11,OP1014,36,18.2,SITE07,"Nagpur, MH",18.23988,75.03501,Trenching,2025-02-19 22:30:00,2025-02-19 23:59:30,89.5,Clear,30.5,Good,Flat,1650.4,5.22,3.5,6,2315.4,465.6,22,1.3,84.4,2680.6,0,0,Unfastened,Yes,No,0,81.2,Yes
338,2025-02-19 22:55:00,Night,Motor Grader,MGR002,7.2,OP1008,33,17.4,SITE02,"Coimbatore, TN",14.776,81.94194,Leveling,2025-02-19 22:55:00,2025-02-19 23:29:12,34.2,Clear,24.7,Good,Rocky,1715.5,1.21,2.12,9,1943.5,84.3,77,2.48,94.3,2438.5,1,1,Fastened,No,No,1,71.5,No
339,2025-02-19 23:58:00,Night,Bulldozer,BDZ002,13,OP1025,52,17.2,SITE01,"Chennai, TN",16.02345,78.13119,Leveling,2025-02-19 23:58:00,2025-02-20 00:32:12,34.2,Clear,32.8,Good,Flat,2510.5,4.72,8.28,11,1312.5,367.6,69,3.8,86,2359.5,0,0,Fastened,No,No,1,62.9,Yes
340,2025-02-20 13:10:00,Morning,Wheel Loader,WLD004,9.8,OP1031,31,16.5,SITE06,"Pune, MH",10.56869,77.31151,Loading,2025-02-20 13:10:00,2025-02-20 14:11:18,61.3,Rain,25.3,Moderate,Flat,4874,6.62,6.48,9,1969.7,556.5,0,3.33,90.4,2519.2,0,3,Fastened,No,No,0,100,No
341,2025-02-20 16:58:00,Afternoon,Backhoe Loader,BHL002,4.6,OP1021,53,16.8,SITE02,"Coimbatore, TN",14.77594,81.93524,Loading,2025-02-20 16:58:00,2025-02-20 18:01:24,63.4,Clear,35,Good,Uneven,2621.6,8.21,7.77,12,2745.6,486.8,19,2.49,87.9,2647.7,0,0,Fastened,No,No,1,100,No
342,2025-02-21 01:17:00,Night,Excavator,EXC002,3.8,OP1036,43,4.6,SITE07,"Nagpur, MH",18.24672,75.04548,Trenching,2025-02-21 01:17:00,2025-02-21 02:02:48,45.8,Clear,30.8,Good,Flat,4511.7,3.76,4.93,6,1491.9,500.3,17,2.97,96.2,2609.4,1,0,Fastened,Yes,No,0,98.7,No
343,2025-02-21 02:03:00,Night,Wheel Loader,WLD001,11.5,OP1038,26,10.7,SITE05,"Hyderabad, TS",8.36294,77.66988,Digging,2025-02-21 02:03:00,2025-02-21 02:58:54,55.9,Fog,19.1,Poor,Uneven,4522.2,7.72,8.29,12,2893.1,497.1,6,4.94,89.2,2373.6,1,0,Fastened,Yes,No,0,100,No
344,2025-02-21 02:08:00,Night,Bulldozer,BDZ001,11,OP1029,39,3.8,SITE03,"Vellore, TN",15.61426,79.19311,Grading,2025-02-21 02:08:00,2025-02-21 02:52:48,44.8,Cloudy,28,Good,Flat,4762.4,6.67,8.93,9,2175.9,472.1,2,2.3,103.7,2224.9,1,0,Fastened,No,No,1,100,No
